ÈÕÆÚ,Ê±¼ä,³µÁ÷Á¿,¾ÛÀà±êÇ©,Ê±¶Î
2024-04-01,0,279,1,µÍ·å
2024-04-01,1,197,1,µÍ·å
2024-04-01,2,100,1,µÍ·å
2024-04-01,3,82,1,µÍ·å
2024-04-01,4,125,1,µÍ·å
2024-04-01,5,292,1,µÍ·å
2024-04-01,6,1062,2,Æ½·å
2024-04-01,7,1931,0,¸ß·å
2024-04-01,8,1258,2,Æ½·å
2024-04-01,9,1455,2,Æ½·å
2024-04-01,10,1433,2,Æ½·å
2024-04-01,11,1560,2,Æ½·å
2024-04-01,12,1593,2,Æ½·å
2024-04-01,13,1658,0,¸ß·å
2024-04-01,14,1590,2,Æ½·å
2024-04-01,15,1513,2,Æ½·å
2024-04-01,16,1927,0,¸ß·å
2024-04-01,17,1542,2,Æ½·å
2024-04-01,18,1675,0,¸ß·å
2024-04-01,19,1366,2,Æ½·å
2024-04-01,20,1226,2,Æ½·å
2024-04-01,21,899,2,Æ½·å
2024-04-01,22,523,1,µÍ·å
2024-04-01,23,451,1,µÍ·å
2024-04-02,0,290,1,µÍ·å
2024-04-02,1,144,1,µÍ·å
2024-04-02,2,102,1,µÍ·å
2024-04-02,3,119,1,µÍ·å
2024-04-02,4,125,1,µÍ·å
2024-04-02,5,269,1,µÍ·å
2024-04-02,6,1045,2,Æ½·å
2024-04-02,7,1660,0,¸ß·å
2024-04-02,8,1339,2,Æ½·å
2024-04-02,9,1412,2,Æ½·å
2024-04-02,10,1386,2,Æ½·å
2024-04-02,11,1517,2,Æ½·å
2024-04-02,12,1585,2,Æ½·å
2024-04-02,13,1563,2,Æ½·å
2024-04-02,14,1448,2,Æ½·å
2024-04-02,15,1533,2,Æ½·å
2024-04-02,16,1644,0,¸ß·å
2024-04-02,17,1587,2,Æ½·å
2024-04-02,18,1647,0,¸ß·å
2024-04-02,19,1350,2,Æ½·å
2024-04-02,20,1138,2,Æ½·å
2024-04-02,21,746,1,µÍ·å
2024-04-02,22,523,1,µÍ·å
2024-04-02,23,448,1,µÍ·å
2024-04-03,0,312,1,µÍ·å
2024-04-03,1,175,1,µÍ·å
2024-04-03,2,113,1,µÍ·å
2024-04-03,3,95,1,µÍ·å
2024-04-03,4,112,1,µÍ·å
2024-04-03,5,262,1,µÍ·å
2024-04-03,6,967,2,Æ½·å
2024-04-03,7,1745,0,¸ß·å
2024-04-03,8,1483,2,Æ½·å
2024-04-03,9,1438,2,Æ½·å
2024-04-03,10,1337,2,Æ½·å
2024-04-03,11,1559,2,Æ½·å
2024-04-03,12,1616,2,Æ½·å
2024-04-03,13,1693,0,¸ß·å
2024-04-03,14,1608,2,Æ½·å
2024-04-03,15,1825,0,¸ß·å
2024-04-03,16,1728,0,¸ß·å
2024-04-03,17,1446,2,Æ½·å
2024-04-03,18,1951,0,¸ß·å
2024-04-03,19,1543,2,Æ½·å
2024-04-03,20,1340,2,Æ½·å
2024-04-03,21,1128,2,Æ½·å
2024-04-03,22,807,1,µÍ·å
2024-04-03,23,636,1,µÍ·å
2024-04-07,0,268,1,µÍ·å
2024-04-07,1,149,1,µÍ·å
2024-04-07,2,94,1,µÍ·å
2024-04-07,3,102,1,µÍ·å
2024-04-07,4,135,1,µÍ·å
2024-04-07,5,271,1,µÍ·å
2024-04-07,6,1009,2,Æ½·å
2024-04-07,7,1717,0,¸ß·å
2024-04-07,8,1294,2,Æ½·å
2024-04-07,9,1477,2,Æ½·å
2024-04-07,10,1327,2,Æ½·å
2024-04-07,11,1469,2,Æ½·å
2024-04-07,12,1536,2,Æ½·å
2024-04-07,13,1572,2,Æ½·å
2024-04-07,14,1421,2,Æ½·å
2024-04-07,15,1569,2,Æ½·å
2024-04-07,16,2253,0,¸ß·å
2024-04-07,17,1725,0,¸ß·å
2024-04-07,18,1664,0,¸ß·å
2024-04-07,19,1210,2,Æ½·å
2024-04-07,20,1058,2,Æ½·å
2024-04-07,21,767,1,µÍ·å
2024-04-07,22,525,1,µÍ·å
2024-04-07,23,451,1,µÍ·å
2024-04-08,0,269,1,µÍ·å
2024-04-08,1,166,1,µÍ·å
2024-04-08,2,119,1,µÍ·å
2024-04-08,3,95,1,µÍ·å
2024-04-08,4,121,1,µÍ·å
2024-04-08,5,220,1,µÍ·å
2024-04-08,6,1023,2,Æ½·å
2024-04-08,7,1793,0,¸ß·å
2024-04-08,8,1333,2,Æ½·å
2024-04-08,9,1384,2,Æ½·å
2024-04-08,10,1328,2,Æ½·å
2024-04-08,11,1445,2,Æ½·å
2024-04-08,12,1455,2,Æ½·å
2024-04-08,13,1508,2,Æ½·å
2024-04-08,14,1406,2,Æ½·å
2024-04-08,15,1594,2,Æ½·å
2024-04-08,16,1640,0,¸ß·å
2024-04-08,17,1570,2,Æ½·å
2024-04-08,18,1660,0,¸ß·å
2024-04-08,19,1416,2,Æ½·å
2024-04-08,20,1226,2,Æ½·å
2024-04-08,21,868,2,Æ½·å
2024-04-08,22,570,1,µÍ·å
2024-04-08,23,488,1,µÍ·å
2024-04-09,0,259,1,µÍ·å
2024-04-09,1,147,1,µÍ·å
2024-04-09,2,108,1,µÍ·å
2024-04-09,3,100,1,µÍ·å
2024-04-09,4,106,1,µÍ·å
2024-04-09,5,267,1,µÍ·å
2024-04-09,6,1014,2,Æ½·å
2024-04-09,7,1580,2,Æ½·å
2024-04-09,8,1359,2,Æ½·å
2024-04-09,9,1383,2,Æ½·å
2024-04-09,10,1542,2,Æ½·å
2024-04-09,11,1559,2,Æ½·å
2024-04-09,12,1531,2,Æ½·å
2024-04-09,13,1571,2,Æ½·å
2024-04-09,14,1551,2,Æ½·å
2024-04-09,15,1615,2,Æ½·å
2024-04-09,16,1952,0,¸ß·å
2024-04-09,17,1585,2,Æ½·å
2024-04-09,18,1657,0,¸ß·å
2024-04-09,19,1428,2,Æ½·å
2024-04-09,20,1368,2,Æ½·å
2024-04-09,21,957,2,Æ½·å
2024-04-09,22,596,1,µÍ·å
2024-04-09,23,458,1,µÍ·å
2024-04-10,0,268,1,µÍ·å
2024-04-10,1,171,1,µÍ·å
2024-04-10,2,124,1,µÍ·å
2024-04-10,3,98,1,µÍ·å
2024-04-10,4,116,1,µÍ·å
2024-04-10,5,272,1,µÍ·å
2024-04-10,6,1003,2,Æ½·å
2024-04-10,7,1642,0,¸ß·å
2024-04-10,8,1401,2,Æ½·å
2024-04-10,9,1456,2,Æ½·å
2024-04-10,10,1643,0,¸ß·å
2024-04-10,11,1650,0,¸ß·å
2024-04-10,12,1621,2,Æ½·å
2024-04-10,13,1694,0,¸ß·å
2024-04-10,14,1478,2,Æ½·å
2024-04-10,15,1595,2,Æ½·å
2024-04-10,16,1985,0,¸ß·å
2024-04-10,17,2328,0,¸ß·å
2024-04-10,18,1824,0,¸ß·å
2024-04-10,19,1551,2,Æ½·å
2024-04-10,20,1390,2,Æ½·å
2024-04-10,21,959,2,Æ½·å
2024-04-10,22,583,1,µÍ·å
2024-04-10,23,444,1,µÍ·å
2024-04-11,0,283,1,µÍ·å
2024-04-11,1,153,1,µÍ·å
2024-04-11,2,116,1,µÍ·å
2024-04-11,3,79,1,µÍ·å
2024-04-11,4,122,1,µÍ·å
2024-04-11,5,246,1,µÍ·å
2024-04-11,6,999,2,Æ½·å
2024-04-11,7,1448,2,Æ½·å
2024-04-11,8,1321,2,Æ½·å
2024-04-11,9,1460,2,Æ½·å
2024-04-11,10,1405,2,Æ½·å
2024-04-11,11,1556,2,Æ½·å
2024-04-11,12,1484,2,Æ½·å
2024-04-11,13,1394,2,Æ½·å
2024-04-11,14,1433,2,Æ½·å
2024-04-11,15,1571,2,Æ½·å
2024-04-11,16,1517,2,Æ½·å
2024-04-11,17,1362,2,Æ½·å
2024-04-11,18,1719,0,¸ß·å
2024-04-11,19,1560,2,Æ½·å
2024-04-11,20,1398,2,Æ½·å
2024-04-11,21,976,2,Æ½·å
2024-04-11,22,634,1,µÍ·å
2024-04-11,23,456,1,µÍ·å
2024-04-12,0,283,1,µÍ·å
2024-04-12,1,153,1,µÍ·å
2024-04-12,2,127,1,µÍ·å
2024-04-12,3,119,1,µÍ·å
2024-04-12,4,124,1,µÍ·å
2024-04-12,5,286,1,µÍ·å
2024-04-12,6,979,2,Æ½·å
2024-04-12,7,1774,0,¸ß·å
2024-04-12,8,1346,2,Æ½·å
2024-04-12,9,1559,2,Æ½·å
2024-04-12,10,1449,2,Æ½·å
2024-04-12,11,1600,2,Æ½·å
2024-04-12,12,1571,2,Æ½·å
2024-04-12,13,1690,0,¸ß·å
2024-04-12,14,1691,0,¸ß·å
2024-04-12,15,1823,0,¸ß·å
2024-04-12,16,1822,0,¸ß·å
2024-04-12,17,1582,2,Æ½·å
2024-04-12,18,1967,0,¸ß·å
2024-04-12,19,1712,0,¸ß·å
2024-04-12,20,1579,2,Æ½·å
2024-04-12,21,1161,2,Æ½·å
2024-04-12,22,751,1,µÍ·å
2024-04-12,23,603,1,µÍ·å
2024-04-15,0,315,1,µÍ·å
2024-04-15,1,172,1,µÍ·å
2024-04-15,2,113,1,µÍ·å
2024-04-15,3,93,1,µÍ·å
2024-04-15,4,116,1,µÍ·å
2024-04-15,5,312,1,µÍ·å
2024-04-15,6,1047,2,Æ½·å
2024-04-15,7,1449,2,Æ½·å
2024-04-15,8,1241,2,Æ½·å
2024-04-15,9,1529,2,Æ½·å
2024-04-15,10,1486,2,Æ½·å
2024-04-15,11,1624,2,Æ½·å
2024-04-15,12,1502,2,Æ½·å
2024-04-15,13,1666,0,¸ß·å
2024-04-15,14,1613,2,Æ½·å
2024-04-15,15,1571,2,Æ½·å
