日期,时间,车流量
2024-04-01,0,279
2024-04-01,1,197
2024-04-01,2,100
2024-04-01,3,82
2024-04-01,4,125
2024-04-01,5,292
2024-04-01,6,1062
2024-04-01,7,1931
2024-04-01,8,1258
2024-04-01,9,1455
2024-04-01,10,1433
2024-04-01,11,1560
2024-04-01,12,1593
2024-04-01,13,1658
2024-04-01,14,1590
2024-04-01,15,1513
2024-04-01,16,1927
2024-04-01,17,1542
2024-04-01,18,1675
2024-04-01,19,1366
2024-04-01,20,1226
2024-04-01,21,899
2024-04-01,22,523
2024-04-01,23,451
2024-04-02,0,290
2024-04-02,1,144
2024-04-02,2,102
2024-04-02,3,119
2024-04-02,4,125
2024-04-02,5,269
2024-04-02,6,1045
2024-04-02,7,1660
2024-04-02,8,1339
2024-04-02,9,1412
2024-04-02,10,1386
2024-04-02,11,1517
2024-04-02,12,1585
2024-04-02,13,1563
2024-04-02,14,1448
2024-04-02,15,1533
2024-04-02,16,1644
2024-04-02,17,1587
2024-04-02,18,1647
2024-04-02,19,1350
2024-04-02,20,1138
2024-04-02,21,746
2024-04-02,22,523
2024-04-02,23,448
2024-04-03,0,312
2024-04-03,1,175
2024-04-03,2,113
2024-04-03,3,95
2024-04-03,4,112
2024-04-03,5,262
2024-04-03,6,967
2024-04-03,7,1745
2024-04-03,8,1483
2024-04-03,9,1438
2024-04-03,10,1337
2024-04-03,11,1559
2024-04-03,12,1616
2024-04-03,13,1693
2024-04-03,14,1608
2024-04-03,15,1825
2024-04-03,16,1728
2024-04-03,17,1446
2024-04-03,18,1951
2024-04-03,19,1543
2024-04-03,20,1340
2024-04-03,21,1128
2024-04-03,22,807
2024-04-03,23,636
2024-04-07,0,268
2024-04-07,1,149
2024-04-07,2,94
2024-04-07,3,102
2024-04-07,4,135
2024-04-07,5,271
2024-04-07,6,1009
2024-04-07,7,1717
2024-04-07,8,1294
2024-04-07,9,1477
2024-04-07,10,1327
2024-04-07,11,1469
2024-04-07,12,1536
2024-04-07,13,1572
2024-04-07,14,1421
