日期,时间,车流量
2024-04-04,0,364
2024-04-04,1,260
2024-04-04,2,126
2024-04-04,3,109
2024-04-04,4,129
2024-04-04,5,240
2024-04-04,6,511
2024-04-04,7,1167
2024-04-04,8,1524
2024-04-04,9,1884
2024-04-04,10,2170
2024-04-04,11,2170
2024-04-04,12,2161
2024-04-04,13,2230
2024-04-04,14,2256
2024-04-04,15,2345
2024-04-04,16,2370
2024-04-04,17,2432
2024-04-04,18,2157
2024-04-04,19,2095
2024-04-04,20,1833
2024-04-04,21,1541
2024-04-04,22,1015
2024-04-04,23,587
2024-04-05,0,355
2024-04-05,1,203
2024-04-05,2,125
2024-04-05,3,113
2024-04-05,4,140
2024-04-05,5,245
2024-04-05,6,627
2024-04-05,7,1250
2024-04-05,8,1623
2024-04-05,9,2035
2024-04-05,10,2121
2024-04-05,11,2102
2024-04-05,12,2153
2024-04-05,13,2238
2024-04-05,14,2167
2024-04-05,15,2190
2024-04-05,16,2392
2024-04-05,17,2418
2024-04-05,18,2129
2024-04-05,19,1897
2024-04-05,20,1900
2024-04-05,21,1453
2024-04-05,22,956
2024-04-05,23,621
2024-04-06,0,389
2024-04-06,1,167
2024-04-06,2,122
2024-04-06,3,114
2024-04-06,4,124
2024-04-06,5,257
2024-04-06,6,689
2024-04-06,7,1344
2024-04-06,8,1640
2024-04-06,9,1808
2024-04-06,10,1907
2024-04-06,11,2012
2024-04-06,12,2034
2024-04-06,13,2142
2024-04-06,14,1947
2024-04-06,15,1856
2024-04-06,16,2038
2024-04-06,17,2214
2024-04-06,18,1656
2024-04-06,19,1559
2024-04-06,20,1286
2024-04-06,21,825
2024-04-06,22,520
2024-04-06,23,422
2024-04-13,0,351
2024-04-13,1,237
2024-04-13,2,131
2024-04-13,3,118
2024-04-13,4,119
2024-04-13,5,292
2024-04-13,6,749
2024-04-13,7,1418
2024-04-13,8,1735
2024-04-13,9,1801
2024-04-13,10,1880
2024-04-13,11,1986
2024-04-13,12,2110
2024-04-13,13,2146
2024-04-13,14,2047
2024-04-13,15,2207
2024-04-13,16,2189
2024-04-13,17,2529
2024-04-13,18,2050
2024-04-13,19,2072
2024-04-13,20,2068
2024-04-13,21,1591
2024-04-13,22,1199
2024-04-13,23,736
2024-04-14,0,390
2024-04-14,1,213
2024-04-14,2,140
2024-04-14,3,112
2024-04-14,4,170
2024-04-14,5,271
2024-04-14,6,610
2024-04-14,7,1226
2024-04-14,8,1661
2024-04-14,9,1870
2024-04-14,10,1999
2024-04-14,11,2107
2024-04-14,12,2238
2024-04-14,13,2137
2024-04-14,14,2251
2024-04-14,15,2138
2024-04-14,16,2162
2024-04-14,17,2229
2024-04-14,18,1805
2024-04-14,19,1910
2024-04-14,20,1567
2024-04-14,21,1168
2024-04-14,22,1242
2024-04-14,23,559
2024-04-20,0,454
2024-04-20,1,263
2024-04-20,2,140
2024-04-20,3,118
2024-04-20,4,184
2024-04-20,5,415
2024-04-20,6,878
2024-04-20,7,1752
2024-04-20,8,2169
2024-04-20,9,2215
2024-04-20,10,2430
2024-04-20,11,2525
2024-04-20,12,2463
2024-04-20,13,2382
2024-04-20,14,2427
2024-04-20,15,2533
2024-04-20,16,2157
2024-04-20,17,1808
2024-04-20,18,2408
2024-04-20,19,2479
2024-04-20,20,2237
2024-04-20,21,1698
2024-04-20,22,1111
2024-04-20,23,847
2024-04-21,0,519
2024-04-21,1,247
2024-04-21,2,196
2024-04-21,3,132
2024-04-21,4,144
2024-04-21,5,347
2024-04-21,6,771
2024-04-21,7,1439
2024-04-21,8,2181
2024-04-21,9,2407
2024-04-21,10,2511
2024-04-21,11,2447
2024-04-21,12,2451
2024-04-21,13,2494
2024-04-21,14,2387
2024-04-21,15,2431
2024-04-21,16,2465
2024-04-21,17,2193
2024-04-21,18,2143
2024-04-21,19,1979
2024-04-21,20,1718
2024-04-21,21,1160
2024-04-21,22,819
2024-04-21,23,690
2024-04-27,0,449
2024-04-27,1,248
2024-04-27,2,185
2024-04-27,3,146
2024-04-27,4,177
2024-04-27,5,337
2024-04-27,6,797
2024-04-27,7,1565
2024-04-27,8,1842
2024-04-27,9,2057
2024-04-27,10,2010
2024-04-27,11,2238
2024-04-27,12,2292
2024-04-27,13,2192
2024-04-27,14,2144
2024-04-27,15,2140
2024-04-27,16,2275
2024-04-27,17,2121
2024-04-27,18,2028
2024-04-27,19,1951
2024-04-27,20,1675
2024-04-27,21,1207
2024-04-27,22,848
2024-04-27,23,586
2024-05-01,0,580
2024-05-01,1,330
2024-05-01,2,242
2024-05-01,3,168
2024-05-01,4,195
2024-05-01,5,385
2024-05-01,6,720
2024-05-01,7,1341
2024-05-01,8,2214
2024-05-01,9,2291
2024-05-01,10,1950
2024-05-01,11,1900
2024-05-01,12,2170
2024-05-01,13,1995
2024-05-01,14,2144
2024-05-01,15,2297
2024-05-01,16,1776
2024-05-01,17,2018
2024-05-01,18,2280
2024-05-01,19,1797
2024-05-01,20,2380
2024-05-01,21,2307
2024-05-01,22,1735
2024-05-01,23,1079
2024-05-02,0,614
2024-05-02,1,329
2024-05-02,2,188
2024-05-02,3,129
2024-05-02,4,191
2024-05-02,5,358
2024-05-02,6,790
2024-05-02,7,1387
2024-05-02,8,2161
2024-05-02,9,2629
2024-05-02,10,2423
2024-05-02,11,2435
2024-05-02,12,2337
2024-05-02,13,2064
2024-05-02,14,2181
2024-05-02,15,2315
2024-05-02,16,2193
2024-05-02,17,2172
2024-05-02,18,2477
2024-05-02,19,2643
2024-05-02,20,2416
2024-05-02,21,2111
2024-05-02,22,1420
2024-05-02,23,949
2024-05-03,0,498
2024-05-03,1,221
2024-05-03,2,159
2024-05-03,3,144
2024-05-03,4,179
2024-05-03,5,344
2024-05-03,6,826
2024-05-03,7,1455
2024-05-03,8,2123
2024-05-03,9,2577
2024-05-03,10,2492
2024-05-03,11,2440
2024-05-03,12,2082
2024-05-03,13,2176
2024-05-03,14,2309
2024-05-03,15,2241
2024-05-03,16,1941
2024-05-03,17,1782
2024-05-03,18,2574
2024-05-03,19,2580
2024-05-03,20,2237
2024-05-03,21,1957
2024-05-03,22,1253
2024-05-03,23,870
2024-05-04,0,481
2024-05-04,1,262
2024-05-04,2,149
2024-05-04,3,132
2024-05-04,4,174
2024-05-04,5,320
2024-05-04,6,812
2024-05-04,7,1461
2024-05-04,8,1874
2024-05-04,9,2164
2024-05-04,10,2315
2024-05-04,11,2374
2024-05-04,12,2492
2024-05-04,13,2448
2024-05-04,14,2540
2024-05-04,15,2419
2024-05-04,16,2668
2024-05-04,17,2222
2024-05-04,18,2264
2024-05-04,19,2121
2024-05-04,20,1939
2024-05-04,21,1421
2024-05-04,22,884
2024-05-04,23,744
2024-05-05,0,441
2024-05-05,1,225
2024-05-05,2,146
2024-05-05,3,154
2024-05-05,4,165
2024-05-05,5,292
2024-05-05,6,720
2024-05-05,7,1510
2024-05-05,8,1787
2024-05-05,9,1946
2024-05-05,10,1966
2024-05-05,11,2282
2024-05-05,12,2341
2024-05-05,13,2162
2024-05-05,14,2105
2024-05-05,15,2046
2024-05-05,16,2464
2024-05-05,17,2330
2024-05-05,18,1952
2024-05-05,19,1810
2024-05-05,20,1628
2024-05-05,21,1103
2024-05-05,22,774
2024-05-05,23,647
